symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
FB,2020-02-12 00:00:00+00:00,210.76,211.22,207.4,207.85,13813704,210.76,0.0,211.22,207.4,207.85,1.0,13813704
FB,2020-02-13 00:00:00+00:00,213.14,214.3259,209.18,209.5235,15396625,213.14,0.0,214.3259,209.18,209.5235,1.0,15396625
FB,2020-02-14 00:00:00+00:00,214.18,214.93,212.65,214.0,10741747,214.18,0.0,214.93,212.65,214.0,1.0,10741747
FB,2020-02-18 00:00:00+00:00,217.8,217.975,213.4,213.55,15630026,217.8,0.0,217.975,213.4,213.55,1.0,15630026
FB,2020-02-19 00:00:00+00:00,217.49,218.32,216.11,217.99,12135114,217.49,0.0,218.32,216.11,217.99,1.0,12135114
FB,2020-02-20 00:00:00+00:00,214.58,218.765,212.945,216.52,13109213,214.58,0.0,218.765,212.945,216.52,1.0,13109213
FB,2020-02-21 00:00:00+00:00,210.18,214.237,208.8305,213.48,14098432,210.18,0.0,214.237,208.8305,213.48,1.0,14098432
FB,2020-02-24 00:00:00+00:00,200.72,203.65,198.17,201.8,23080057,200.72,0.0,203.65,198.17,201.8,1.0,23080057
FB,2020-02-25 00:00:00+00:00,196.77,203.5,195.9537,202.27,21433487,196.77,0.0,203.5,195.9537,202.27,1.0,21433487
FB,2020-02-26 00:00:00+00:00,197.2,201.21,195.49,197.19,16555210,197.2,0.0,201.21,195.49,197.19,1.0,16555210
FB,2020-02-27 00:00:00+00:00,189.75,195.88,189.5,191.82,21682626,189.75,0.0,195.88,189.5,191.82,1.0,21682626
FB,2020-02-28 00:00:00+00:00,192.47,192.74,181.82,182.695,32583494,192.47,0.0,192.74,181.82,182.695,1.0,32583494
FB,2020-03-02 00:00:00+00:00,196.44,196.57,188.85,194.03,24948955,196.44,0.0,196.57,188.85,194.03,1.0,24948955
FB,2020-03-03 00:00:00+00:00,185.89,197.24,183.97,196.22,27984104,185.89,0.0,197.24,183.97,196.22,1.0,27984104
FB,2020-03-04 00:00:00+00:00,191.76,191.83,186.39,189.17,23062473,191.76,0.0,191.83,186.39,189.17,1.0,23062473
FB,2020-03-05 00:00:00+00:00,185.17,188.99,183.8901,186.78,19333425,185.17,0.0,188.99,183.8901,186.78,1.0,19333425
